rank	word	spacy_pos	draft_gloss	final_gloss	needs_review	all_candidates
1	de	preposition	of; 's; used after the thing owned and before the owner			[noun] The name of the Latin script letter D/d. || [prep] of; 's; used after the thing owned and before the owner | from (with the source or provenance of or at) | of (expressing composition, substance)
2	que	conjunction	that			[conj] that | than | indicates reason; because, for || [pron] who; that | that; whom; which
3	no	adverb	not			[adv] not || [intj] no | eh?, right?, isn't it? (used as a tag question, to emphasise what precedes, or to request that the listener express an opinion) || [noun] no | abbreviation of número; no.
4	a	preposition	to			[noun] Name of the letter A. || [prep] to | by | at || [verb] misspelling of ha || [intj] alternative form of ah
5	la	determiner	feminine singular definite article; the			[article] feminine singular definite article; the || [pron] accusative of ella, ello (when the antecedent's implied gender is feminine), and usted (when referring to a woman); her, it, you (formal) | impersonal neuter pronoun (accusative) in certain colloquial phrases: it, this || [noun] la (sixth note of the scale) | A (the musical note or key)
6	el	determiner	masculine singular definite article; the			[article] masculine singular definite article; the | feminine singular definite article used before nouns which start with a stressed /a/
7	y	conjunction	and			[conj] and | plus, and | well
8	es	verb	to be (essentially or identified as)		L	[verb] third-person singular present indicative of ser || [noun] plural of e
9	en	preposition	in, at, on			[prep] in, at, on | in (a time) | in (a language)
10	lo	pronoun	accusative of él and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that			[pron] accusative of él and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that || [article] neuter definite article used only before nominalized adjectives: the, that which is
11	un	determiner	an; a			[article] an; a || [num] apocopic form of uno (“one”)
12	por	preposition	by	for; by; through; because of		[prep] by | for (indicates something given in an exchange) | through, out, via (indicating movement) || [intj] why do you ask?, why are you asking?
13	qué	pronoun	what			[det] what; which | what a; such || [adv] how | Substitutes an interrogative word like cómo, cuándo, etc. || [pron] what || [intj] what (expresses surprise or confusion)
14	me	pronoun	accusative of yo: me			[pron] accusative of yo: me | dative of yo: to me, for me | reflexive of yo: myself
15	una	determiner	one	a; an (feminine)	L	[noun] feminine of uno || [article] feminine singular of un || [det] feminine singular of uno || [pron] one (an indefinite plural pronoun using a singular feminine item, used for females) || [verb] inflection of unir:
16	los	determiner	masculine singular definite article; the		L	[article] masculine plural of el (“the”) || [pron] accusative of ellos; them | accusative of ustedes (when referring to more than one man); you all (formal or (Latin America) informal) | plural masculine or neuter pronoun
17	se	pronoun	A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself; themselves; yourselves; each other; one another			[pron] A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself; themselves; yourselves; each other; one another | A pronoun used with transitive verbs to create the passive voice | A pronoun used with a verb conjugated in the third-person singular to convey an impersonal meaning || [verb] misspelling of sé
18	te	pronoun	dative of tú and vos: to you, for you			[noun] The name of the Latin script letter T/t. || [pron] dative of tú and vos: to you, for you | accusative of tú and vos: you | yourself
19	con	preposition	with			[prep] with | Dependent preposition following certain verbs.
20	para	preposition	for, to (expressing a recipient)			[prep] for, to (expressing a recipient) | to, in order to, so, for (expressing the intended purpose of an action) | by, due, due on, due by (expressing a deadline) || [verb] inflection of parar: | inflection of parir: || [noun] paramilitary
21	está	verb	to be (have a temporary or permanent location in space)		L	[verb] inflection of estar:
22	mi	determiner	mi	my	Y	[det] apocopic form of mío, my || [noun] mu; the Greek letter Μ, μ | mi
23	pero	conjunction	but			[conj] but | well well; so; well (used for emphasis) | expresses surprise || [noun] but (instance of saying "but") | but (restriction) || [verb] first-person singular present indicative of perar
24	sí	interjection	hello? (used when answering a phone call)	yes		[particle] yes, yeah, (used to respond affirmatively to a question, used both informally and formally) | Used to give positive emphasis to a verb, which is often replaced. Functions similarly to English do. || [intj] hello? (used when answering a phone call) || [noun] yes; aye, ay; approbation, acceptance || [pron] prepositional form of se
25	si	conjunction	if, whether			[conj] if, whether | points out a contradiction (and often implies that it's obvious or that it's easy to find out about)
26	bien	adverb	well; fine; okay (state of being satisfied with the status quo)			[adv] well (adverbial form of bueno) | well; fine; okay (state of being satisfied with the status quo) | properly || [adj] well-to-do; affluent; wealthy; upper-class | exclusive; upscale; high-class || [conj] either ... or; whether ... or (used to express alternatives, but with the same result) || [noun] good (as opposed to evil) | goodness | good; better (substantive)
27	eso	pronoun	alternative spelling of ése	that	L	[pron] neuter singular of ése; that
28	su	determiner	apocopic form of suyo his, her, its, one's, their, your (formal)	his; her; its; their; your (formal)	Y	[det] apocopic form of suyo his, her, its, one's, their, your (formal)
29	las	determiner	feminine plural definite article; the			[article] feminine plural definite article; the || [pron] accusative of ellas; them | accusative of ustedes (when referring to more than one woman); you all (formal) | feminine plural pronoun || [noun] plural of la
30	yo	pronoun	Freud's concept of the ego	I	Y	[pron] first-person singular pronoun in the nominative case; I || [noun] Freud's concept of the ego
31	del	contraction	of the; from the (de + el)			of the; from the (de + el)
32	como	conjunction	as (introducing a basis of comparison or equality)			[adv] as (to such an extent or degree) | like, about (approximately) || [conj] as (introducing a basis of comparison or equality) | as, since (being that) | how (in which way) || [prep] as (in the manner or role specified) | such as (for example) | like (similar to, reminiscent of) || [verb] first-person singular present indicative of comer
33	aquí	adverb	here (in the speaker's location)			[adv] here (in the speaker's location)
34	tu	determiner	apocopic form of tuyo, your	your	Y	[det] apocopic form of tuyo, your
35	al	contraction	to the; at the (a + el)			to the; at the (a + el)
36	más	adverb	more; -er (used to make comparisons)			[adv] more; -er (used to make comparisons) | most; -est (used to make superlatives) | furthermore || [det] more, any more | most || [conj] plus
37	le	pronoun	to him, for him; dative of él			[pron] to him, for him; dative of él | to her, for her; dative of ella | to it, for it; dative of ello
