final_rank	corpus_rank	word
1	1	de
2	2	que
3	3	no
4	4	a
5	5	la
6	6	el
7	7	y
8	8	es
9	9	en
10	10	lo
11	11	un
12	12	por
13	13	qué
14	14	me
15	15	una
16	16	los
17	17	se
18	18	te
19	19	con
20	20	para
21	21	está
22	22	mi
23	23	pero
24	24	sí
25	25	si
26	26	bien
27	27	eso
28	28	su
29	29	las
30	30	yo
31	31	del
32	32	como
33	33	aquí
34	34	tu
35	35	al
36	36	más
37	37	le
38	38	esto
39	39	todo
40	40	ya
41	41	estoy
42	42	ahora
43	43	muy
44	44	ha
45	45	esta
46	46	así
47	47	vamos
48	48	algo
49	49	hay
50	50	bueno
51	51	tengo
52	52	él
53	53	cuando
54	54	estás
55	55	sé
56	56	tú
57	57	nos
58	58	nada
59	59	cómo
60	60	este
61	61	o
62	62	he
63	63	ser
64	64	tiene
65	65	puedo
66	66	ella
67	67	quiero
68	68	hacer
69	69	fue
70	70	gracias
71	71	vez
72	72	era
73	73	soy
74	74	sólo
75	75	todos
76	76	porque
77	77	son
78	78	tienes
79	79	creo
80	80	voy
81	81	sabes
82	82	estaba
83	83	puede
84	84	eres
85	85	ese
86	86	usted
87	87	entonces
88	88	hola
89	89	solo
90	90	verdad
91	91	casa
92	92	tan
93	93	quién
94	94	sus
95	95	tiempo
96	96	dos
97	97	esa
98	98	nunca
99	99	dónde
100	100	va
101	101	oh
102	102	favor
103	103	mucho
104	104	mí
105	105	quieres
106	106	siento
107	107	señor
108	108	mejor
109	109	hace
110	110	has
111	111	decir
112	112	también
113	113	sobre
114	114	dios
115	115	sin
116	116	tenemos
117	117	están
118	118	ti
119	119	puedes
120	120	ver
121	121	hombre
122	122	vida
123	123	alguien
124	124	cosas
125	125	siempre
126	126	hasta
127	127	ahí
128	128	ir
129	129	años
130	130	antes
131	131	estar
132	132	ni
133	133	poco
134	134	día
135	135	uno
136	136	noche
137	137	hecho
138	138	mis
139	139	estamos
140	140	otra
141	141	acuerdo
142	142	trabajo
143	143	nosotros
144	144	parece
145	145	gente
146	146	sea
147	147	padre
148	148	mira
149	149	mismo
150	150	dijo
151	151	nadie
152	152	quiere
153	153	podría
154	154	hablar
155	155	vas
156	156	ellos
157	157	sr.
158	158	tal
159	159	pasa
160	160	fuera
161	161	después
162	162	han
163	163	desde
164	164	dinero
165	165	mundo
166	166	claro
167	167	momento
168	168	les
169	169	tener
170	170	estado
171	171	otro
172	172	había
173	173	mañana
174	174	tenía
175	175	madre
176	176	vale
177	177	lugar
178	178	haciendo
179	179	donde
180	180	seguro
181	181	sabe
182	182	podemos
183	183	tus
184	184	espera
185	185	nuevo
186	186	sido
187	187	cosa
188	188	hijo
189	189	allí
190	190	menos
191	191	tipo
192	192	amigo
193	193	gran
194	194	nuestro
195	195	mujer
196	196	mamá
197	197	luego
198	198	papá
199	199	días
200	200	dice
201	201	hoy
202	202	tres
203	203	buena
204	204	necesito
205	205	dije
206	206	oye
207	207	gusta
208	208	quería
209	209	será
210	210	haber
211	211	parte
212	212	todas
213	213	crees
214	214	buen
215	215	conmigo
216	216	nombre
217	217	mierda
218	218	nuestra
219	219	mal
220	220	debe
221	221	realmente
222	222	estas
223	223	aún
224	224	mío
225	225	toda
226	226	hacerlo
227	227	cada
228	228	visto
229	229	importa
230	230	contigo
231	231	tienen
232	232	hemos
233	233	razón
234	234	alguna
235	235	tanto
236	236	saber
237	237	hizo
238	238	veces
239	239	serio
240	240	ven
241	241	idea
242	242	eh
243	243	tarde
244	244	problema
245	245	hora
246	246	cierto
247	247	dicho
248	248	quien
249	249	demasiado
250	250	amor
251	251	entre
252	252	ve
253	253	pasado
254	254	familia
255	255	estos
256	256	policía
257	257	debería
258	258	ustedes
259	259	chica
260	260	esos
261	261	chicos
262	262	cuenta
263	263	haces
264	264	todavía
265	265	salir
266	266	algún
267	267	vaya
268	268	unos
269	269	veo
270	270	amigos
271	271	hermano
272	272	pensé
273	273	sabía
274	274	cabeza
275	275	ah
276	276	cariño
277	277	digo
278	278	van
279	279	hombres
280	280	buenas
281	281	somos
282	282	cualquier
283	283	forma
284	284	mientras
285	285	lado
286	286	debo
287	287	sería
288	288	caso
289	289	pueden
290	290	pasó
291	291	primera
292	292	genial
293	293	chico
294	294	supuesto
295	295	hice
296	296	pues
297	297	adiós
298	298	muchas
299	299	personas
300	300	señora
301	301	volver
302	302	esas
303	303	quizá
304	304	contra
305	305	camino
306	306	durante
307	307	hablando
308	308	manera
309	309	muerto
310	310	persona
311	311	rápido
312	312	cuál
313	313	ayuda
314	314	historia
315	315	iba
316	316	supongo
317	317	nueva
318	318	entiendo
319	319	dentro
320	320	casi
321	321	puerta
322	322	ves
323	323	pasar
324	324	primero
325	325	significa
326	326	semana
327	327	hacia
328	328	quizás
329	329	espero
330	330	juntos
331	331	año
332	332	niños
333	333	pronto
334	334	tío
335	335	suerte
336	336	ciudad
337	337	siquiera
338	338	feliz
339	339	venir
340	340	hija
341	341	gustaría
342	342	minutos
343	343	cuánto
344	344	os
345	345	hey
346	346	muerte
347	347	dejar
348	348	realidad
349	349	deja
350	350	problemas
351	351	vi
352	352	da
353	353	importante
354	354	dijiste
355	355	corazón
356	356	miedo
357	357	jefe
358	358	agua
359	359	haré
360	360	justo
361	361	horas
362	362	poder
363	363	buenos
364	364	esposa
365	365	manos
366	366	debes
367	367	viene
368	368	venga
369	369	nuestros
370	370	ojos
371	371	adelante
372	372	encontrar
373	373	mano
374	374	cinco
375	375	niño
376	376	ninguna
377	377	otros
378	378	cara
379	379	cuidado
380	380	bajo
381	381	cerca
382	382	viejo
383	383	déjame
384	384	noches
385	385	bastante
386	386	fin
387	387	tomar
388	388	único
389	389	misma
390	390	escucha
391	391	ningún
392	392	suficiente
393	393	punto
394	394	cuándo
395	395	sigue
396	396	haya
397	397	equipo
398	398	grande
399	399	necesita
400	400	llegar
401	401	incluso
402	402	algunos
403	403	doctor
404	404	difícil
405	405	aunque
406	406	hubiera
407	407	primer
408	408	coche
409	409	hago
410	410	clase
411	411	cuatro
412	412	mas
413	413	dices
414	414	pequeño
415	415	llama
416	416	toma
417	417	hiciste
418	418	allá
419	419	última
420	420	arriba
421	421	tierra
422	422	guerra
423	423	pensar
424	424	pueda
425	425	igual
426	426	loco
427	427	sangre
428	428	mujeres
429	429	vuelta
430	430	fui
431	431	trabajar
432	432	tenido
433	433	juego
434	434	deberías
435	435	cuerpo
436	436	e
437	437	algunas
438	438	entrar
439	439	cree
440	440	podía
441	441	debemos
442	442	oportunidad
443	443	teléfono
444	444	necesitamos
445	445	final
446	446	listo
447	447	fiesta
448	448	muchos
449	449	estabas
450	450	quieren
451	451	vete
452	452	auto
453	453	dar
454	454	vivir
455	455	posible
456	457	hermana
457	458	número
458	459	meses
459	460	exactamente
460	461	culpa
461	462	abajo
462	463	escuela
463	464	ido
464	465	fuerte
465	466	diciendo
466	467	habla
467	468	esté
468	469	ello
469	470	pregunta
470	471	chicas
471	472	eran
472	473	unas
473	474	pasando
474	475	atrás
475	476	malo
476	477	capitán
477	478	sra.
478	479	bebé
479	480	segundo
480	481	sabemos
481	482	mayor
482	483	comida
483	484	morir
484	485	conozco
485	486	dame
486	487	fácil
487	488	comer
488	489	vino
489	490	lista
490	491	haga
491	492	necesitas
492	493	hijos
493	494	probablemente
494	495	padres
495	496	habitación
496	497	creer
497	498	pensando
498	499	fueron
499	500	dime
500	501	trata
501	502	buscando
502	503	tuve
503	504	tampoco
504	505	amo
505	506	joven
506	507	podrías
507	508	sola
508	509	par
509	510	única
510	511	hacen
511	512	seguir
512	513	dr.
513	514	simplemente
514	515	dicen
515	516	medio
516	517	puta
517	518	saben
518	519	sentido
519	520	hagas
520	521	segura
521	522	esperar
522	523	lejos
523	524	arma
524	525	alto
525	526	pequeña
526	527	dólares
527	528	seis
528	529	estaban
529	530	seguridad
530	531	maldita
531	532	estuvo
532	533	preocupes
533	534	palabra
534	535	esperando
535	536	queda
536	537	oficina
537	538	matar
538	539	iré
539	540	cama
540	541	además
541	542	último
542	543	oído
543	544	habría
544	545	estará
545	546	dio
546	547	recuerdo
547	548	siendo
548	549	acerca
549	550	tenga
550	551	luz
551	552	correcto
552	553	ud.
553	554	demonios
554	555	nuestras
555	556	verte
556	557	dormir
557	558	sitio
558	559	ayudar
559	560	conseguir
560	561	di
561	562	marido
562	563	paz
563	564	idiota
564	565	plan
565	566	dado
566	567	cuanto
567	568	peor
568	569	murió
569	570	pueblo
570	571	vivo
571	572	venido
572	574	basta
573	575	paso
574	576	deberíamos
575	577	música
576	578	diga
577	579	minuto
578	580	anoche
579	581	llamar
580	582	piensa
581	583	país
582	584	digas
583	585	rey
584	586	perdón
585	587	mucha
586	588	falta
587	589	pienso
588	590	diablos
589	591	perdido
590	592	niña
591	593	señorita
592	594	diez
593	595	lleva
594	596	hospital
595	597	grandes
596	598	maldito
597	599	otras
598	600	llamado
599	601	hacemos
600	602	llevar
601	603	fuego
602	604	aqui
603	605	tuvo
604	606	poner
605	607	calle
606	608	acaba
607	609	prueba
608	610	increíble
609	611	real
610	612	libro
611	613	orden
612	614	semanas
613	615	especial
614	616	mía
615	617	café
616	618	duro
617	619	empezar
618	620	afuera
619	621	queremos
620	622	perro
621	623	cielo
622	625	puesto
623	626	viaje
624	627	detrás
625	628	cuarto
626	629	querida
627	630	haría
