rank,word,gloss,pos,lemma,ipa,syllables,stress
1,de,of; 's; used after the thing owned and before the owner,preposition,de,/ˈde/,de,de
2,que,that,conjunction,que,/ˈke/,que,que
3,no,not,adverb,no,/ˈno/,no,no
4,a,to,preposition,a,/ˈa/,a,a
5,la,feminine singular definite article; the,determiner,el,/ˈla/,la,la
6,el,masculine singular definite article; the,determiner,el,/ˈel/,el,el
7,y,and,conjunction,y,/ˈi/,y,y
8,es,to be (essentially or identified as),verb,ser,/ˈes/,es,es
9,en,"in, at, on",preposition,en,/ˈen/,en,en
10,lo,"accusative of él and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that",pronoun,él,/ˈlo/,lo,lo
11,un,an; a,determiner,uno,/ˈun/,un,un
12,por,for; by; through; because of,preposition,por,/ˈpoɾ/,por,por
13,qué,what,pronoun,qué,/ˈke/,qué,qué
14,me,accusative of yo: me,pronoun,yo,/ˈme/,me,me
15,una,a; an (feminine),determiner,uno,/ˈuna/,u-na,u
16,los,masculine singular definite article; the,determiner,el,/ˈlos/,los,los
17,se,"A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself; themselves; yourselves; each other; one another",pronoun,él,/ˈse/,se,se
18,te,"dative of tú and vos: to you, for you",pronoun,tú,/ˈte/,te,te
19,con,with,preposition,con,/ˈkon/,con,con
20,para,"for, to (expressing a recipient)",preposition,para,/ˈpaɾa/,pa-ra,pa
21,está,to be (have a temporary or permanent location in space),verb,estar,/esˈta/,es-tá,tá
22,mi,my,determiner,mi,/ˈmi/,mi,mi
23,pero,but,conjunction,pero,/ˈpeɾo/,pe-ro,pe
24,sí,yes,interjection,sí,/ˈsi/,sí,sí
25,si,"if, whether",conjunction,si,/ˈsi/,si,si
26,bien,well; fine; okay (state of being satisfied with the status quo),adverb,bien,/ˈbien/,bien,bien
27,eso,that,pronoun,ese,/ˈeso/,e-so,e
28,su,his; her; its; their; your (formal),determiner,su,/ˈsu/,su,su
29,las,feminine plural definite article; the,determiner,el,/ˈlas/,las,las
30,yo,I,pronoun,yo,/ˈʝo/,yo,yo
31,del,of the; from the (de + el),contraction,del,/ˈdel/,del,del
32,como,as (introducing a basis of comparison or equality),conjunction,como,/ˈkomo/,co-mo,co
33,aquí,here (in the speaker's location),adverb,aquí,/aˈki/,a-quí,quí
34,tu,your,determiner,tu,/ˈtu/,tu,tu
35,al,to the; at the (a + el),contraction,al,/ˈal/,al,al
36,más,more; -er (used to make comparisons),adverb,más,/ˈmas/,más,más
37,le,"to him, for him; dative of él",pronoun,él,/ˈle/,le,le
38,esto,this,pronoun,este,/ˈesto/,es-to,es
39,todo,everything,pronoun,todo,/ˈtodo/,to-do,to
40,ya,"now (often as opposed to before), anymore, no longer",adverb,ya,/ˈʝa/,ya,ya
41,estoy,to be (have a temporary or permanent location in space),verb,estar,/esˈtoi̯/,es-toy,toy
42,ahora,now (at the present time),adverb,ahora,/aˈoɾa/,a-ho-ra,ho
43,muy,very,adverb,mucho,/ˈmui̯/,muy,muy
44,ha,have; forms the perfect aspect,verb,haber,/ˈa/,ha,ha
45,esta,this,determiner,este,/ˈesta/,es-ta,es
46,así,"like this; like that; as such; thus; so; thereby; this way, that way",adverb,así,/aˈsi/,a-sí,sí
47,vamos,to go (away from speaker and listener),verb,ir,/ˈbamos/,va-mos,va
48,algo,"something, anything",pronoun,algo,/ˈalɡo/,al-go,al
49,hay,there is; there are,verb,haber,/ˈai̯/,hay,hay
50,bueno,good,adjective,bueno,/ˈbueno/,bue-no,bue
51,tengo,to have; to possess,verb,tener,/ˈtenɡo/,ten-go,ten
52,él,"he, him, masculine personal third person subject and disjunctive pronoun (used as a subject and after prepositions)",pronoun,él,/ˈel/,él,él
53,cuando,when,conjunction,cuando,/ˈkuando/,cuan-do,cuan
54,estás,to be (have a temporary or permanent location in space),verb,estar,/esˈtas/,es-tás,tás
55,sé,"to know, to understand (a fact)",verb,saber,/ˈse/,sé,sé
56,tú,second person pronoun in singular tense; you,pronoun,tú,/ˈtu/,tú,tú
57,nos,"dative of nosotros: to us, for us",pronoun,yo,/ˈnos/,nos,nos
58,nada,"nothing, zero, zilch, not...anything",pronoun,nada,/ˈnada/,na-da,na
59,cómo,how,pronoun,cómo,/ˈkomo/,có-mo,có
60,este,this,determiner,este,/ˈeste/,es-te,es
61,o,or,conjunction,o,/ˈo/,o,o
62,he,have; forms the perfect aspect,verb,haber,/ˈe/,he,he
63,ser,to be (essentially or identified as),verb,ser,/ˈseɾ/,ser,ser
64,tiene,to have; to possess,verb,tener,/ˈtiene/,tie-ne,tie
65,puedo,"to be able to, can",verb,poder,/ˈpuedo/,pue-do,pue
66,ella,"she, her (used subjectively and after prepositions)",pronoun,él,/ˈeʝa/,e-lla,e
67,quiero,to want,verb,querer,/ˈkieɾo/,quie-ro,quie
68,hacer,to do,verb,hacer,/aˈseɾ/,ha-cer,cer
69,fue,to be (essentially or identified as),verb,ser,/ˈfue/,fue,fue
70,gracias,thanks,noun,gracias,/ˈɡɾasias/,gra-cias,gra
71,vez,"time, instance",noun,vez,/ˈbes/,vez,vez
72,era,to be (essentially or identified as),verb,ser,/ˈeɾa/,e-ra,e
73,soy,to be (essentially or identified as),verb,ser,/ˈsoi̯/,soy,soy
74,sólo,superseded spelling of solo,adverb,sólo,/ˈsolo/,só-lo,só
75,todos,everyone; all,pronoun,todo,/ˈtodos/,to-dos,to
76,porque,because,conjunction,porque,/ˈpoɾke/,por-que,por
77,son,to be (essentially or identified as),verb,ser,/ˈson/,son,son
78,tienes,to have; to possess,verb,tener,/ˈtienes/,tie-nes,tie
79,creo,to believe,verb,creer,/ˈkɾeo/,cre-o,cre
80,voy,to go (away from speaker and listener),verb,ir,/ˈboi̯/,voy,voy
81,sabes,"to know, to understand (a fact)",verb,saber,/ˈsabes/,sa-bes,sa
82,estaba,to be (have a temporary or permanent location in space),verb,estar,/esˈtaba/,es-ta-ba,ta
83,puede,"to be able to, can",verb,poder,/ˈpuede/,pue-de,pue
84,eres,to be (essentially or identified as),verb,ser,/ˈeɾes/,e-res,e
85,ese,that,determiner,ese,/ˈese/,e-se,e
86,usted,second person formal; you (singular),pronoun,usted,/usˈted/,us-ted,ted
87,entonces,"then, next, thereupon, at that time, at that point",adverb,entonces,/enˈtonses/,en-ton-ces,ton
88,hola,hello; hi,interjection,hola,/ˈola/,ho-la,ho
89,solo,only; solely; just,adverb,solo,/ˈsolo/,so-lo,so
90,verdad,truth,noun,verdad,/beɾˈdad/,ver-dad,dad
91,casa,house,noun,casa,/ˈkasa/,ca-sa,ca
92,tan,"so, as",adverb,tanto,/ˈtan/,tan,tan
93,quién,"who?, whom?; (with “de”) whose?",pronoun,quién,/ˈkien/,quién,quién
94,sus,your (with plural possessee),determiner,su,/ˈsus/,sus,sus
95,tiempo,time,noun,tiempo,/ˈtiempo/,tiem-po,tiem
96,dos,two,number,dos,/ˈdos/,dos,dos
97,esa,that,determiner,ese,/ˈesa/,e-sa,e
98,nunca,never,adverb,nunca,/ˈnunka/,nun-ca,nun
99,dónde,where,pronoun,dónde,/ˈdonde/,dón-de,dón
100,va,to go (away from speaker and listener),verb,ir,/ˈba/,va,va
101,oh,"oh (expression of awe, surprise, pain or realization)",interjection,oh,/ˈo/,oh,oh
102,favor,favor/favour,noun,favor,/faˈboɾ/,fa-vor,vor
103,mucho,"much, a lot, far, way, many times",adverb,mucho,/ˈmutʃo/,mu-cho,mu
104,mí,me (after prepositions),pronoun,yo,/ˈmi/,mí,mí
105,quieres,to want,verb,quier,/ˈkieɾes/,quie-res,quie
106,siento,to feel,verb,sentir,/ˈsiento/,sien-to,sien
107,señor,"mister, sir, lord (title conferred on a married or older male)",noun,señor,/seˈɲoɾ/,se-ñor,ñor
108,mejor,better,adjective,mejor,/meˈxoɾ/,me-jor,jor
109,hace,to do; to make,verb,hacer,/ˈase/,ha-ce,ha
110,has,have; forms the perfect aspect,verb,haber,/ˈas/,has,has
111,decir,"to say, to tell",verb,decir,/deˈsiɾ/,de-cir,cir
112,también,"also, too, as well",adverb,también,/tamˈbien/,tam-bién,bién
113,sobre,"over, above, on, upon, atop",preposition,sobre,/ˈsobɾe/,so-bre,so
114,dios,god,noun,dio,/ˈdios/,dios,dios
115,sin,without,preposition,sin,/ˈsin/,sin,sin
116,tenemos,to have; to possess,verb,tener,/teˈnemos/,te-ne-mos,ne
117,están,to be (have a temporary or permanent location in space),verb,estar,/esˈtan/,es-tán,tán
118,ti,prepositional of tú,pronoun,tú,/ˈti/,ti,ti
119,puedes,"to be able to, can",verb,poder,/ˈpuedes/,pue-des,pue
120,ver,"to see, to spot",verb,ver,/ˈbeɾ/,ver,ver
121,hombre,"man, (adult male human)",noun,hombre,/ˈombɾe/,hom-bre,hom
122,vida,life,noun,vida,/ˈbida/,vi-da,vi
123,alguien,"someone, somebody",pronoun,alguien,/ˈalɡien/,al-guien,al
124,cosas,"thing (object, concept)",noun,cosa,/ˈkosas/,co-sas,co
125,siempre,always,adverb,siempre,/ˈsiempɾe/,siem-pre,siem
126,hasta,until,preposition,hasta,/ˈasta/,has-ta,has
127,ahí,there (away from the speaker),adverb,ahí,/aˈi/,a-hí,hí
128,ir,to go (away from speaker and listener),verb,ir,/ˈiɾ/,ir,ir
129,años,year,noun,año,/ˈaɲos/,a-ños,a
130,antes,earlier; before; sooner; previously; formerly; beforehand (at an earlier time),adverb,antes,/ˈantes/,an-tes,an
131,estar,to be (have a temporary or permanent location in space),verb,estar,/esˈtaɾ/,es-tar,tar
132,ni,"Used when negating two or more elements, and not, not A or B, not A nor B, neither A nor B",conjunction,ni,/ˈni/,ni,ni
133,poco,little (not much),adverb,poco,/ˈpoko/,po-co,po
134,día,day (any period of 24 hours),noun,día,/ˈdia/,dí-a,dí
135,uno,one,pronoun,uno,/ˈuno/,u-no,u
136,noche,night (the period between sunset and sunrise),noun,noche,/ˈnotʃe/,no-che,no
